CODE,BOROUGH,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Avergae Pre covid health,Avergae Post covid health,Diference Year 6 post-pre,Diference R
E09000002,Barking and Dagenham,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,63.93,62.60,-2.92,0.26
E09000003,Barnet,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,71.70,71.28,-0.95,0.12
E09000004,Bexley,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,67.91,68.57,-1.22,2.54
E09000005,Brent,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,64.80,67.39,0.22,4.96
E09000006,Bromley,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,73.60,71.11,-5.54,0.55
E09000007,Camden,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,70.35,72.49,3.71,0.55
E09000008,Croydon,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,70.06,69.86,-0.92,0.52
E09000009,Ealing,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,68.31,67.65,-2.03,0.70
E09000010,Enfield,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,68.30,68.48,-0.28,0.63
E09000011,Greenwich,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,64.83,65.07,-0.65,1.14
E09000012,Hackney1,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,65.76,65.68,-0.22,0.07
E09000013,Hammersmith and Fulham,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,69.98,70.32,0.74,-0.05
E09000014,Haringey,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,69.35,68.75,-0.93,-0.28
E09000015,Harrow,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,70.02,68.72,-2.68,0.09
E09000016,Havering,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,68.47,68.20,-2.40,1.86
E09000017,Hillingdon,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,69.14,67.79,-3.06,0.36
E09000018,Hounslow,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,67.91,66.81,-2.14,-0.05
E09000019,Islington,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,68.59,68.30,-0.91,0.33
E09000020,Kensington and Chelsea,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,70.48,70.20,-1.13,0.57
E09000021,Kingston upon Thames,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,75.76,75.19,0.90,-2.05
E09000022,Lambeth,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,67.51,66.68,-1.67,0.02
E09000023,Lewisham,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,68.83,67.87,-2.43,0.50
E09000024,Merton,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,71.00,71.67,0.37,0.95
E09000025,Newham,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,64.51,64.12,-2.49,1.71
E09000026,Redbridge,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,67.51,66.63,-2.25,0.49
E09000027,Richmond upon Thames,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,78.54,78.50,-1.04,0.97
E09000028,Southwark,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,64.59,66.26,0.28,3.06
E09000029,Sutton,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,72.92,73.75,1.13,0.53
E09000030,Tower Hamlets,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,65.75,65.56,-1.99,1.61
E09000031,Waltham Forest,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,67.62,68.51,-1.45,3.22
E09000032,Wandsworth,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,72.03,71.05,-0.70,-1.25
E09000033,Westminster,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,67.77,64.85,-3.05,-2.79